id,parent_id,name,slug,deanery,city,address,phone,email,latitude,longitude,status,created_at
7e7559dd-ec5e-4e38-8e93-076664890e43,121de8ff-c477-49b1-8762-ad856a8200d8,Capilla Santa Ana,cap_sta_ana_empalme_vc,villa constitucion,Empalme V.C.,THEOBALD,null,null,null,null,active,2026-05-15 23:04:17.930426+00
196fedd4-cde5-4ae0-899a-b0bba1710b41,d81e55fc-bb5b-40c1-a546-cbaae9f17a44,Capilla de la Medalla Milagrosa,cap_medalla_milagrosa_s_lorenzo,san lorenzo,San Lorenzo,Moreno 1024,null,null,null,null,active,2026-05-15 23:04:17.930426+00
5b00a210-aeb6-4e1f-92e7-fa6c986b75e7,d81e55fc-bb5b-40c1-a546-cbaae9f17a44,Capilla Ntra. Sra. de la Esperanza,cap_ntra_sra_esperanza_s_lorenzo,san lorenzo,San Lorenzo,"Gaboto 650, Bº Villa Felisa",null,null,null,null,active,2026-05-15 23:04:17.930426+00
92a726a4-3376-4a59-bd2b-0c1b18ebf403,d81e55fc-bb5b-40c1-a546-cbaae9f17a44,Capilla San José Obrero,cap_s_jose_obrero_s_lorenzo,san lorenzo,San Lorenzo,", Gutemberg  Santa Cruz, Bº José Hernández",null,null,null,null,active,2026-05-15 23:04:17.930426+00
e7206f1f-0620-4ff5-a094-333f0736ef4d,d81e55fc-bb5b-40c1-a546-cbaae9f17a44,Capilla San Juan Bautista,cap_s_juan_bautista_s_lorenzo,san lorenzo,San Lorenzo,RICARDONE,null,null,null,null,active,2026-05-15 23:04:17.930426+00
8eadf36f-1402-44e5-a213-e49e5ee4a8a9,f23cba42-426f-4a16-b70a-6cd5f63755ee,"Capilla Inmaculado Corazón de María, Hnas. Adoratrices",cap_inmaculado_corazon_maria_rosario,centro,Rosario,Italia 733,0341 4257659,null,null,null,active,2026-05-15 23:04:17.930426+00
a668e70a-0228-48b7-839f-a656fa8b5e71,45bb6687-9f4e-447a-89e5-08e66f2a3a6b,Capilla Ntra. Sra. de Itatí,cap_itati_rosario_centeno,sur,Rosario,Santiago y Centeno,null,null,null,null,active,2026-05-15 23:04:17.930426+00
1e236c0f-2e1c-4bf2-9308-034e38885ba8,d81e55fc-bb5b-40c1-a546-cbaae9f17a44,Capilla Ntra. Sra. de Itatí,cap_itati_s_lorenzo,san lorenzo,San Lorenzo,Urquiza s/n,null,null,null,null,active,2026-05-15 23:04:17.930426+00
4b898657-6d4b-41e3-8381-a0cb454655bd,121de8ff-c477-49b1-8762-ad856a8200d8,Capilla Ntra. Sra. de la Medalla Milagrosa,cap_medalla_milagrosa_empalme_vc,villa constitucion,Empalme V.C.,Saavedra s/n,null,null,null,null,active,2026-05-15 23:04:17.930426+00
030a82f5-e224-4550-ad68-cdd12d12b778,f23cba42-426f-4a16-b70a-6cd5f63755ee,Capilla Ntra. Sra. de la Medalla Milagrosa,cap_medalla_milagrosa_las_rosas,cañada de gomez,Las Rosas,Salta s/n,null,null,null,null,active,2026-05-15 23:04:17.930426+00
9babb692-2d72-46bc-988e-0eff85ed40a6,4595f5dd-913c-434c-ac6d-64a49568fef0,Capilla Ntra. Sra. de la Medalla Milagrosa,cap_medalla_milagrosa_villa_eloisa,cañada de gomez,Villa Eloisa,"Mitre y San Martín, Bº Oeste",null,null,null,null,active,2026-05-15 23:04:17.930426+00
fcbec9fb-57bb-461e-a9dd-3bbcabb40d2b,121de8ff-c477-49b1-8762-ad856a8200d8,Capilla Ntra. Sra. del Rosario de San Nicolás,cap_rosario_s_nicolas_empalme_vc,villa constitucion,Empalme V.C.,"Bº Mitre, PAVÓN ",null,null,null,null,active,2026-05-15 23:04:17.930426+00
2a3fed98-10da-4873-bded-442eefddd0dc,034c0577-ad62-4a58-a5bf-8be66d17f281,"Capilla San Lucas, Hospital Eva Perón",cap_s_lucas_hosp_eva_peron_granadero_baigorria,san lorenzo,Granadero Baigorria,Av. San Martín 1645,null,null,null,null,active,2026-05-15 23:04:17.930426+00
86fce629-83a9-4313-b359-0e3f9b855c1f,4595f5dd-913c-434c-ac6d-64a49568fef0,Iglesia Santa Clara de Asís,igl_sta_clara_asis_acebal,santa teresa,Coronel Dominguez,CORONEL DOMÍNGUEZ,null,null,null,null,active,2026-05-15 23:04:17.930426+00
46825c4b-c4e6-4f05-805c-c2449852c1f5,4595f5dd-913c-434c-ac6d-64a49568fef0,Iglesia Ntra. Sra. del Carmen,igl_ntra_sra_carmen_acebal,santa teresa,Carmen del Sauce,CARMEN DEL SAUCE,null,null,null,null,active,2026-05-15 23:04:17.930426+00
